parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
50_210_0_0_5_424_1,288,0.0031322439473599,0.0046718504692816,0.004815802761083,0.2202087594650022,0,20.3,0.0,0.0,9434,992.0,9434
50_210_0_0_5_424_1,289,0.0034197603788276,0.0047687856409661,0.0044694265061537,0.2164885957319202,0,21.6,0.0,0.0,9434,988.5,9434
50_210_0_0_5_424_1,290,0.0036829399112338,0.0047021399964033,0.0041015390590026,0.2131647030646757,0,22.4,1.4,1.4,9434,987.9,9434
50_210_0_0_5_424_1,291,0.00389963193847,0.0045090647814102,0.0037224751276512,0.2102153161537542,0,22.2,1.4,2.8,9434,989.3,9434
50_210_0_0_5_424_1,292,0.004047697256918,0.0042270400623784,0.0033423525215916,0.2076184986522917,0,23.8,0.0,2.8,9434,993.05,9434
50_210_0_0_5_424_1,293,0.0041049966629597,0.0038935459056994,0.0029712890503157,0.2053523142134234,0,22.7,0.2,1.5999999999999999,9434,994.45,9434
50_210_0_0_5_424_1,294,0.0040521083767531,0.0035440901772404,0.0026187538483271,0.2033948264902846,0,19.3,1.4,1.5999999999999999,9434,989.7,9434
50_210_0_0_5_424_1,295,0.0038974669261798,0.0031948299223678,0.002288120785733,0.2017240991360105,0,19.2,0.4,2.0,9434,988.65,9434
50_210_0_0_5_424_1,296,0.0036658512109413,0.0028509495988273,0.0019794240700034,0.2003181958037368,1,20.0,0.0,1.7999999999999998,9434,990.9,9434
50_210_0_0_5_424_1,297,0.0033822479419651,0.002517508111365,0.0016926637011385,0.1991551801465989,1,22.0,0.0,0.4,9434,991.9,9434
50_210_0_0_5_424_1,298,0.003071643830179,0.002199564364727,0.0014278396791383,0.1982131158177318,1,19.6,0.0,0.0,9434,992.75,9434
